Tiempo,Altura,Velocidad
38.15600000000061,20970.72,851.88
38.16000000000061,20974.13,851.95
38.164000000000605,20977.54,852.01
38.1680000000006,20980.95,852.07
38.1720000000006,20984.36,852.13
38.1760000000006,20987.76,852.2
38.1800000000006,20991.17,852.26
38.184000000000594,20994.58,852.33
38.18800000000059,20997.99,852.39
38.19200000000059,21001.4,852.46
38.19600000000059,21004.81,852.53
38.200000000000585,21008.22,852.6
38.20400000000058,21011.63,852.67
38.20800000000058,21015.04,852.73
38.21200000000058,21018.45,852.8
38.21600000000058,21021.86,852.87
38.220000000000574,21025.28,852.94
38.22400000000057,21028.69,853.0
38.22800000000057,21032.1,853.07
38.23200000000057,21035.51,853.13
38.236000000000566,21038.92,853.2
38.24000000000056,21042.34,853.26
38.24400000000056,21045.75,853.33
38.24800000000056,21049.16,853.39
38.25200000000056,21052.58,853.45
38.256000000000554,21055.99,853.52
38.26000000000055,21059.4,853.59
38.26400000000055,21062.82,853.66
38.26800000000055,21066.23,853.73
38.272000000000546,21069.65,853.8
38.27600000000054,21073.06,853.87
38.28000000000054,21076.48,853.93
38.28400000000054,21079.89,854.0
38.28800000000054,21083.31,854.06
38.292000000000534,21086.73,854.12
38.29600000000053,21090.14,854.19
38.30000000000053,21093.56,854.26
38.30400000000053,21096.98,854.33
38.308000000000526,21100.39,854.4
38.31200000000052,21103.81,854.46
38.31600000000052,21107.23,854.53
38.32000000000052,21110.65,854.6
38.32400000000052,21114.07,854.67
38.328000000000515,21117.48,854.74
38.33200000000051,21120.9,854.8
38.33600000000051,21124.32,854.88
38.34000000000051,21127.74,854.95
38.344000000000506,21131.16,855.03
38.3480000000005,21134.58,855.11
38.3520000000005,21138.0,855.18
38.3560000000005,21141.42,855.26
38.3600000000005,21144.85,855.34
38.364000000000495,21148.27,855.41
38.36800000000049,21151.69,855.49
38.37200000000049,21155.11,855.56
38.37600000000049,21158.53,855.63
38.380000000000486,21161.96,855.7
38.38400000000048,21165.38,855.76
38.38800000000048,21168.8,855.83
38.39200000000048,21172.22,855.9
38.39600000000048,21175.65,855.97
38.400000000000475,21179.07,856.03
38.40400000000047,21182.5,856.1
38.40800000000047,21185.92,856.17
38.41200000000047,21189.34,856.23
38.416000000000466,21192.77,856.29
38.420000000000464,21196.2,856.36
38.42400000000046,21199.62,856.42
38.42800000000046,21203.05,856.49
38.43200000000046,21206.47,856.56
38.436000000000455,21209.9,856.63
38.44000000000045,21213.32,856.71
38.44400000000045,21216.75,856.78
38.44800000000045,21220.18,856.85
38.452000000000446,21223.61,856.92
38.456000000000444,21227.04,856.99
38.46000000000044,21230.46,857.06
38.46400000000044,21233.89,857.13
38.46800000000044,21237.32,857.19
38.472000000000435,21240.75,857.26
38.47600000000043,21244.18,857.33
38.48000000000043,21247.61,857.4
38.48400000000043,21251.04,857.46
38.488000000000426,21254.47,857.53
38.492000000000424,21257.9,857.6
38.49600000000042,21261.33,857.67
38.50000000000042,21264.76,857.74
38.50400000000042,21268.19,857.81
38.508000000000415,21271.62,857.88
38.51200000000041,21275.05,857.96
38.51600000000041,21278.48,858.03
38.52000000000041,21281.92,858.1
38.524000000000406,21285.35,858.17
38.528000000000404,21288.78,858.23
38.5320000000004,21292.21,858.29
38.5360000000004,21295.65,858.36
38.5400000000004,21299.08,858.43
38.544000000000395,21302.52,858.5
38.54800000000039,21305.95,858.57
38.55200000000039,21309.38,858.64
38.55600000000039,21312.82,858.71
38.560000000000386,21316.25,858.78
38.564000000000384,21319.69,858.85
38.56800000000038,21323.12,858.92
38.57200000000038,21326.56,859.0
38.57600000000038,21329.99,859.07
38.580000000000375,21333.43,859.15
38.58400000000037,21336.87,859.22
38.58800000000037,21340.3,859.3
38.59200000000037,21343.74,859.37
38.596000000000366,21347.18,859.44
38.600000000000364,21350.62,859.51
